amount
280.25
536.33
36.98
2249.0
204.98
1178.0
22.9
66.98
899.0
427.5
172.89
18.9
299.99
111.3
719.88
1.83
24.99
199.99
129.9
34.0
61.8
99.84
79.99
136.11
3078.68
1486.99
120.0
249.9
231.0
1199.0
103.9
1009.98
776.7
19.99
69.99
1209.98
568.42
915.49
1499.99
210.68
2.99
96.98
2281.99
99.99
21.9
735.79
709.98
1709.1
115.97
239.15
2581.52
46.93
254.98
124.68
149.99
100.8
118.11
74.98
143.9
114.98
99.99
31.13
433.26
1696.98
101.37
59.84
109.98
65.42
282.37
379.55
54.45
162.72
89.99
41.09
307.49
90.35
16.9
961.92
649.9
2474.99
539.94
1199.0
42.37
19.48
129.99
96.42
158.43
96.35
25.98
323.47
117.55
141.49
312.14
672.98
50.06
172.48
139.98
1899.0
69.9
95.72
31.08
240.27
1333.84
899.1
1424.37
49.35
1063.69
83.15
42.26
12699.99
3599.0
3779.1
171.98
30.73
79.9
1323.18
121.9
683.99
8.39
1500.05
301.02
49.99
17.84
186.73
79.9
99.7
5469.0
2669.98
29.9
1135.23
159.98
386.0
1871.22
56.83
899.0
71.98
639.9
59.57
1068.9
139.98
409.98
45.0
269.9
99.99
418.25
80.51
38.79
72.0
699.0
2414.9
290.24
41.54
166.04
36.96
112.5
1899.99
55.5
339.98
139.99
7466.5
204.05
959.98
370.77
155.8
1809.98
57.19
1135.23
123.25
573.53
549.0
79.9
24.9
236.38
256.66
70.56
888.88
20.98
626.31
684.99
155.94
1298.0
1799.0
734.66
7.98
119.4
367.7
286.56
224.89
1049.9
57.79
130.6
77.89
588.32
184.86
12.89
37.3
413.33
249.9
99.99
40.89
38.48
68.99
10.0
3170.0
55.71
2.98
199.99
298.55
149.67
837.38
5.99
46.43
80.4
17.0
259.11
250.79
100.16
229.59
1899.0
96.56
1719.98
39.2
119.98
1009.98
2104.98
56.44
2209.98
1588.9
1979.34
79.9
2777.9
152.25
7.36
27.3
3891.0
72.83
2940.7
312.98
3931.99
33.98
150.97
1365.0
1674.98
1018.97
84.6
1729.98
1002.98
2719.98
93.73
322.89
949.0
349.9
98.99
1049.98
135.55
408.34
4630.77
19.98
435.24
270.43
231.85
89.94
3999.99
3099.99
89.94
44.4
1899.0
449.89
419.94
79.94
899.0
152.99
899.0
1466.99
19.99
45.91
929.98
99.9
56.98
522.03
41.94
3351.14
3351.14
3351.14
101.94
699.0
69.12
888.88
999.85
4.2
5.88
279.99
222.21
473.56
359.94
9.99
299.99
35.98
170.12
255.79
10.16
1015.62
1248.46
1499.99
1.88
590.3
2468.0
289.99
6704.27
385.48
47.13
499.9
1466.99
99.99
1.87
1135.23
2409.63
114.92
79.9
73.9
1102.86
19.49
3002.98
2097.96
126.72
16.97
45.57
14.99
843.33
281.94
978.42
1952.98
70.0
34.99
999.99
1.26
411.49
1009.98
3351.14
45.9
1044.61
304.14
1849.99
34.76
658.0
57.98
1849.99
4198.99
539.99
436.99
119.99
1135.23
549.0
639.97
63.5
1509.76
181.72
19.98
90.0
173.36
3999.0
76.98
136.23
239.9
390.79
1955.18
236.98
38.98
263.53
329.08
6092.15
392.85
104.91
42.0
699.0
274.95
199.9
220.74
1098.0
557.9
526.66
129.99
12.98
14.98
121.22
110.0
40.35
3199.0
159.99
2349.99
1719.98
399.99
188.0
1599.99
2070.09
99.75
499.99
2166.03
79.9
65.63
699.0
1199.0
234.05
186.34
116.06
764.1
165.88
179.98
49.04
129.9
61.88
9.99
222.38
274.85
189.99
798.8
1584.95
332.98
1297.9
849.99
206.98
3798.8
549.0
649.99
2806.84
14.99
140.04
363.67
105.14
671.12
430.98
79.9
62.89
42.89
2299.99
